"C-CodigoCliente";"C-TipoCliente";"C-Sucursal";"A-Equipo";"A-Sector";"PC-CostoAccesorios";"PC-CostoAlquiler";"PC-CostoCCC";"PC-CostoReactivos";"PC-CostoServicioTecnico";"PC-CostoTotal";"PC-TotalDeterminaciones";"PC-ImporteAccesorios";"PC-ImporteAlquiler";"PC-ImporteCCC";"PC-ImporteReactivos";"PC-ImporteServicioTecnico";"PC-UtilidadAccesorios";"PC-UtilidadAlquiler";"PC-UtilidadCCC";"PC-UtilidadReactivos";"PC-UtilidadServicioTecnico";"PC-UtilidadPropuesta";"PC-Ganado"
"498";"Privado";"2";"303";"Endocrinología";"12100";"134671,88999999998";"53704,5795";"249435,44999999992";"47135,159999999996";"542518,09";"2566";"12100";"134671,89";"61760,27";"286850,77";"47135,159999999996";"1";"1";"1,15";"1,15";"1";"1,5605997695462286";"1"
"437";"Publico";"2";"269";"Inmunología";"72600";"305256,24";"65137,445999999996";"211497,41250000003";"106839,69";"802826,02";"2183";"72600";"305256,24";"74908,07";"243222,02";"106839,69";"1";"1";"1,15";"1,15";"1";"1,2955084205425043";"1"
"452";"Privado";"2";"237";"Hemostasia";"62920";"143075,40000000002";"165488,5782";"73482,7918";"50076,39";"530888,87";"5400";"62920";"143075,4";"190311,87";"84505,21";"50076,39";"1";"1";"1,15";"1,15";"1";"1,13832186890679";"0"
"551";"Privado";"2";"234";"Hemostasia";"76230";"229839,99";"284823,6787";"115258,7678";"80444,01";"846608,82";"7200";"76230";"229839,99";"327547,23";"132547,59";"80444,01";"1";"1";"1,15";"1,15";"1";"1,1057842508552596";"1"
"372";"Privado";"2";"222";"Inmunología";"72600";"499569,80999999994";"107811";"849344,3266";"174849,42";"1847747,86";"4177";"72600";"499569,81";"123982,65";"976745,98";"174849,42";"1";"1";"1,15";"1,15";"1";"1,254613955320722";"0"
"372";"Privado";"2";"242";"Hemostasia";"0";"1009579,3800000001";"965014,3855";"746549,0307000001";"353352,81";"3331230,12";"4700";"0";"1009579,38";"1109766,55";"858531,38";"353352,81";"1";"1";"1,15";"1,15";"1";"1,0172066375896522";"1"
"3629";"Publico";"2";"353";"POC/Urgencia";"0";"124975,5";"242";"162533,25";"44244,16";"356411,2";"650";"0";"124975,5";"278,3";"186913,24";"44244,16";"1";"1";"1,15";"1,15";"1";"1,1121339621201578";"1"
"585";"Publico";"3";"245";"Hematología";"0";"118511,23999999999";"171683,51200000002";"52690,176";"23702,24";"411461,91";"8000";"0";"118511,24";"206020,21";"63228,22";"23702,24";"1";"1";"1,2";"1,2";"1";"1,5576412337763041";"1"
"585";"Publico";"3";"245";"Hematología";"86979,99995079999";"197518,74";"101572,84499999999";"196114,38";"13826,34";"685318,46";"12000";"86980";"197518,74";"132044,69";"254948,69";"13826,34";"1";"1";"1,3";"1,3";"1";"1,5559999945134997";"1"
"585";"Publico";"3";"246";"Orina";"46585";"421971,89999999997";"347324,45";"80634,40000000001";"147690,18";"1172593,59";"13800";"46585";"421971,9";"451521,79";"104824,72";"147690,18";"1";"1";"1,3";"1,3";"1";"1,0500000004264052";"0"
"585";"Publico";"3";"336";"Endocrinología";"22999,9999724";"226248,77999999997";"114998,40000000001";"234311,50269999998";"45249,78";"748601,43";"4400";"23000";"226248,78";"149497,92";"304604,95";"45249,78";"1";"1";"1,3";"1,3";"1";"1,4000000000000001";"1"
"626";"Publico";"3";"245";"Hematología";"0";"395037,48";"406273,23";"57493,15";"138263,16";"1182573,57";"22800";"0";"395037,48";"568782,52";"80490,41";"138263,16";"1";"1";"1,4";"1,4";"1";"1,66";"0"
"626";"Publico";"3";"245";"Hematología";"53469,9";"395037,48";"430412,73";"0";"138263,16";"1189348,36";"22800";"53469,9";"395037,48";"602577,82";"0";"138263,16";"1";"1";"1,4";"1,4";"1";"2,5000000000000004";"0"
